Wall,-17.255,9.38
Wall,-15.75,9.38
Wall,-14.25,9.38
Wall,-12.75,9.38
Wall,-6.75,9.38
Wall,-8.25,9.38
Wall,-9.75,9.38
Wall,-11.25,9.38
Wall,-5.25,9.38
Wall,-3.75,9.38
Wall,-2.25,9.38
Wall,-0.75,9.38
Wall,5.25,9.38
Wall,3.75,9.38
Wall,2.25,9.38
Wall,0.75,9.38
Wall,6.75,9.38
Wall,8.25,9.38
Wall,9.75,9.38
Wall,11.25,9.38
Wall,17.25,9.38
Wall,15.75,9.38
Wall,14.25,9.38
Wall,12.75,9.38
Wall,17.25,7.88
Wall,3.75,7.88
Wall,-3.75,7.88
Wall,-17.255,7.88
Wall,-17.255,6.38
SpawnPoint,-11.25,6.38
Wall,-3.75,6.38
Wall,3.75,6.38
SpawnPoint,9.75,6.38
Wall,17.25,6.38
Wall,17.25,4.88
Wall,3.75,4.88
Wall,-14.25,4.88
Wall,-15.75,4.88
Wall,-17.255,4.88
Wall,-17.255,3.38
Wall,5.25,3.38
Wall,3.75,3.38
Wall,17.25,3.38
Wall,15.75,3.38
Wall,14.25,3.38
Wall,17.25,1.88
Wall,-5.25,1.88
Wall,-11.25,1.88
Wall,-6.75,1.88
Wall,-12.75,1.88
Wall,-17.255,1.88
Wall,-17.255,-7.12
Wall,3.75,-7.12
Wall,17.25,-7.12
SpawnPoint,14.25,-5.62
Wall,17.25,-5.62
Wall,3.75,-5.62
SpawnPoint,-2.25,-5.62
Wall,-17.255,-5.62
Wall,-17.255,-4.12
Wall,-12.75,-4.12
Wall,-6.75,-4.12
Wall,-11.25,-4.12
Wall,-5.25,-4.12
Wall,3.75,-4.12
Wall,8.25,-4.12
Wall,9.75,-4.12
Wall,17.25,-4.12
Wall,17.25,-2.62
Wall,9.75,-2.62
Wall,8.25,-2.62
Wall,3.75,-2.62
Wall,-5.25,-2.62
Wall,-11.25,-2.62
Wall,-6.75,-2.62
Wall,-12.75,-2.62
Wall,-17.255,-2.62
Wall,-17.255,-1.12
Wall,17.25,-1.12
Wall,17.25,0.38
Wall,-5.25,0.38
Wall,-11.25,0.38
Wall,-6.75,0.38
Wall,-12.75,0.38
Wall,-17.255,0.38
Wall,12.75,-8.62
Wall,14.25,-8.62
Wall,15.75,-8.62
Wall,17.25,-8.62
Wall,11.25,-8.62
Wall,9.75,-8.62
Wall,8.25,-8.62
Wall,6.75,-8.62
Wall,0.75,-8.62
Wall,2.25,-8.62
Wall,3.75,-8.62
Wall,5.25,-8.62
Wall,-0.75,-8.62
Wall,-2.25,-8.62
Wall,-3.75,-8.62
Wall,-5.25,-8.62
Wall,-11.25,-8.62
Wall,-9.75,-8.62
Wall,-8.25,-8.62
Wall,-6.75,-8.62
Wall,-12.75,-8.62
Wall,-14.25,-8.62
Wall,-15.75,-8.62
Wall,-17.255,-8.62
